Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
183-1,Train Set with Motor and Signal,1976,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},194.0,,167.0,0.0,,0.0,
194-1,Family,1976,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},94.0,,156.0,0.0,,0.0,
197-1,Farm Set,1976,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},120.0,,76.0,0.0,,0.0,
210-1,Cowboys,1976,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},39.0,,450.0,0.0,,0.0,
211-1,Mother and baby with dog,1976,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},46.0,,206.0,0.0,,0.0,
212-2,Scooter,1976,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},23.0,,295.0,0.0,,0.0,
256-1,Police Officers and Motorcycle,1976,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},86.0,,487.0,0.0,,0.0,
258-1,Zoo (with Baseboard),1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},486.0,,84.0,0.0,,0.0,
314-1,Police Launch,1976,LEGOLAND,Vintage,Boats,Normal,{Not specified},0,{Not specified},53.0,2.0,1118.0,3.2,,1.0,149.2976
315-2,Container Ship,1976,LEGOLAND,Vintage,Boats,Normal,{Not specified},0,{Not specified},95.0,,376.0,0.0,,0.0,
368-1,Taxi Garage,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},156.0,2.0,622.0,0.0,,0.0,
369-1,Coast Guard Station,1976,LEGOLAND,Vintage,Building,Normal,{Not specified},0,{Not specified},275.0,5.0,462.0,0.0,,1.0,250.0000
370-1,Police Headquarters,1976,LEGOLAND,Vintage,Building,Normal,{Not specified},0,{Not specified},280.0,4.0,624.0,0.0,,0.0,
385-1,Jeep with Steering,1976,LEGOLAND,Vintage,Town,Normal,{Not specified},0,{Not specified},57.0,,309.0,0.0,,0.0,
386-1,Air Ambulance,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},151.0,3.0,718.0,0.0,,0.0,
387-1,Excavator and Dumper,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},159.0,,475.0,0.0,,0.0,
393-1,Norton Motorcycle,1976,Hobby Set,Vintage,,Normal,{Not specified},0,{Not specified},133.0,,427.0,0.0,,0.0,
394-1,Harley-Davidson 1000cc,1976,Hobby Set,Vintage,,Normal,{Not specified},0,{Not specified},143.0,,566.0,0.0,,0.0,
395-1,1909 Rolls-Royce,1976,Hobby Set,Vintage,,Normal,{Not specified},0,{Not specified},281.0,,530.0,3.9,,0.0,
396-1,Thatcher Perkins Locomotive,1976,Hobby Set,Vintage,,Normal,{Not specified},0,{Not specified},438.0,,384.0,0.0,,0.0,
425-1,Fork Lift,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},21.0,1.0,506.0,0.0,,0.0,
435-1,Tipper Truck,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},17.0,,789.0,3.5,,0.0,
445-1,Police Units,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},39.0,2.0,484.0,0.0,,0.0,
455-1,Learjet,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},46.0,,479.0,0.0,,0.0,
485-1,Fire Truck,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},72.0,3.0,347.0,0.0,,1.0,165.0000
530-2,Puppy,1976,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},9.0,,39.0,0.0,,0.0,
531-1,Elephants,1976,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},20.0,,31.0,0.0,,0.0,
532-1,Pull-Along Ducks,1976,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},19.0,,36.0,0.0,,0.0,
550-2,Windmill,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},210.0,2.0,170.0,0.0,,0.0,
555-1,Hospital,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},202.0,7.0,389.0,0.0,,0.0,
565-1,Moon Landing,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},364.0,,561.0,3.9,,0.0,
585-1,Police Headquarters,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},300.0,4.0,465.0,0.0,,0.0,
616-1,Cargo Ship,1976,Basic,Basic,Model,Normal,{Not specified},0,{Not specified},31.0,,410.0,0.0,,0.0,
617-1,Cowboys,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},42.0,1.0,591.0,0.0,,0.0,
661-1,Spirit of St. Louis,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},51.0,,642.0,0.0,,0.0,
662-1,Dump Truck,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},27.0,,690.0,0.0,,0.0,
695-1,Racing Car,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},67.0,,462.0,0.0,,0.0,
696-1,Bus Station,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},80.0,7.0,495.0,0.0,,0.0,
697-1,Stage Coach,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},95.0,1.0,460.0,0.0,,0.0,
726-1,Western Train,1976,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},291.0,2.0,143.0,0.0,,0.0,
770-1,Rescue Set,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},151.0,3.0,264.0,0.0,,0.0,
780-1,Road Construction Set,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},164.0,,247.0,0.0,,0.0,
901-1,Universal Motor Set,1976,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},31.0,,370.0,0.0,,0.0,
910-1,"Advanced Basic Set, 6+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},283.0,3.0,270.0,0.0,,0.0,
911-1,"Advanced Basic Set, 6+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},401.0,4.0,223.0,0.0,,0.0,
912-1,"Advanced Basic Set with Motor, 6+",1976,Basic,Basic,,Normal,{Not specified},0,{Not specified},471.0,3.0,300.0,0.0,,0.0,
1011-1,LEGO Number/Symbol Blocks,1976,Dacta,Educational,,Normal,{Not specified},0,{Not specified},100.0,,23.0,0.0,,0.0,
1017-1,Letter Bricks for Wall Board,1976,Dacta,Educational,,Normal,{Not specified},0,{Not specified},150.0,,18.0,0.0,,0.0,
1045-2,Educational LEGO Building Set,1976,Dacta,Educational,,Normal,{Not specified},0,{Not specified},683.0,,16.0,0.0,,0.0,
1074-1,House Accessories,1976,Dacta,Educational,Supplementary Set,Normal,{Not specified},0,{Not specified},204.0,,32.0,0.0,,0.0,
1077-1,Supplementary Set,1976,Dacta,Educational,,Normal,{Not specified},0,{Not specified},198.0,,23.0,0.0,,0.0,
1560-2,Lufthansa Boeing 727,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,Promotional (Airline),26.0,,148.0,0.0,,0.0,
1561-2,Airline Staff,1976,Building Set with People,Vintage,,Normal,{Not specified},0,Promotional (Airline),30.0,,60.0,0.0,,0.0,
1562-3,Biplane,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,Promotional (Airline),25.0,,71.0,0.0,,0.0,
1601-1,Factory,1976,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},194.0,2.0,61.0,0.0,,0.0,
WEETABIX2-1,Windmill,1976,Basic,Basic,,Other,{Not specified},0,{Not specified},119.0,,113.0,0.0,,,
WEETABIX3-1,House,1976,Basic,Basic,,Other,{Not specified},0,{Not specified},140.0,2.0,136.0,0.0,,,
WEETABIX4-1,House,1976,Basic,Basic,,Other,{Not specified},0,{Not specified},143.0,2.0,134.0,0.0,,,
1-12,Small basic set,1977,Minitalia,Vintage,,Normal,{Not specified},0,{Not specified},91.0,,30.0,0.0,,0.0,
2-11,Medium basic set,1977,Minitalia,Vintage,,Normal,{Not specified},0,{Not specified},128.0,,29.0,0.0,,0.0,
085-1,Racer,1977,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},4.0,1.0,15.0,0.0,,0.0,
087-1,Taxi,1977,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},5.0,1.0,18.0,0.0,,0.0,
88-1,Camping,1977,PreSchool,Pre-school,,Normal,Box,0,Retail - limited,9.0,,11.0,0.0,,,
089-1,Mary's House,1977,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},17.0,3.0,13.0,0.0,,0.0,
110-1,"Building Set, 3+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},131.0,,113.0,0.0,,0.0,
111-1,"Building Set, 3+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},173.0,,108.0,0.0,,0.0,
112-1,"Building Set, 3+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},200.0,,163.0,0.0,,0.0,
113-1,"Universal Building Set, 3+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},258.0,,125.0,0.0,,0.0,
114-1,"Building Set, 3+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},390.0,,107.0,0.0,,0.0,
162-1,Locomotive,1977,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},210.0,,267.0,0.0,,0.0,
163-1,Cargo Wagon,1977,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},128.0,2.0,230.0,0.0,,0.0,
192-1,Policemen,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},86.0,,250.0,0.0,,0.0,
198-1,Cowboys,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},41.0,,119.0,0.0,,0.0,
199-1,Scooter,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},45.0,,96.0,0.0,,0.0,
213-1,Airplane ride,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},48.0,,240.0,0.0,,0.0,
214-1,Road repair crew,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},68.0,,250.0,0.0,,0.0,
215-1,Red Indians,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},93.0,,378.0,0.0,,0.0,
217-1,Service Station,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},228.0,,100.0,0.0,,0.0,
218-1,Firemen,1977,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},274.0,,176.0,0.0,,0.0,
225-2,Building Ideas Book No. 2,1977,Books,Miscellaneous,LEGO,Book,{Not specified},0,{Not specified},,,206.0,0.0,,,
245-2,Two Santas,1977,Basic,Basic,,Normal,{Not specified},0,{Not specified},37.0,,50.0,0.0,,0.0,
246-2,Santa and Sleigh,1977,Basic,Basic,Seasonal,Normal,{Not specified},0,{Not specified},1.0,,91.0,0.0,,0.0,
276-1,Nurse and Child,1977,Homemaker,Vintage,,Normal,{Not specified},0,{Not specified},90.0,,236.0,0.0,,0.0,
277-1,Fireplace,1977,Homemaker,Vintage,,Normal,{Not specified},0,{Not specified},82.0,,218.0,0.0,,0.0,
296-1,Ladies' Hairdressers,1977,Homemaker,Vintage,,Normal,{Not specified},0,{Not specified},160.0,,214.0,0.0,,0.0,
371-3,Sea Plane,1977,LEGOLAND,Vintage,Town,Normal,{Not specified},0,{Not specified},47.0,2.0,493.0,0.0,,0.0,
372-1,Texas Rangers,1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},249.0,,211.0,0.0,,0.0,
373-1,Offshore Rig with Fuel Tanker,1977,LEGOLAND,Vintage,Boats,Normal,{Not specified},0,{Not specified},460.0,3.0,284.0,0.0,,0.0,
400-1,"Building Set, 6+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},294.0,3.0,220.0,0.0,,0.0,
402-1,"Building Set, 6+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},401.0,4.0,174.0,0.0,,0.0,
404-1,"Building Set, 6+",1977,Universal Building Set,Basic,,Normal,{Not specified},0,{Not specified},467.0,3.0,223.0,0.0,,0.0,
456-1,Spirit of St. Louis,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},49.0,,347.0,0.0,,0.0,
491-1,Formula 1 Racer,1977,LEGOLAND,Vintage,Town,Normal,{Not specified},0,{Not specified},67.0,,223.0,0.0,,0.0,
492-1,Truck with Payloader,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},45.0,2.0,182.0,0.0,,0.0,
522-1,Police Station,1977,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},23.0,4.0,70.0,0.0,,0.0,
523-1,Train and Station,1977,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},46.0,5.0,48.0,0.0,,0.0,
524-1,DUPLO Town,1977,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},54.0,7.0,51.0,0.0,,0.0,
533-2,Racer,1977,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},4.0,1.0,73.0,0.0,,0.0,
535-2,Taxi,1977,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},4.0,1.0,86.0,0.0,,0.0,
536-1,Camping,1977,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},10.0,2.0,65.0,0.0,,0.0,
537-2,Mary's House,1977,Duplo,Pre-school,,Normal,{Not specified},0,{Not specified},16.0,3.0,60.0,0.0,,0.0,
618-1,Police Helicopter,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},39.0,,470.0,0.0,,0.0,
619-1,Rally Car,1977,LEGOLAND,Vintage,Vehicle,Normal,{Not specified},0,{Not specified},18.0,1.0,534.0,0.0,,0.0,
663-1,Hovercraft,1977,LEGOLAND,Vintage,Vehicle,Normal,{Not specified},0,{Not specified},60.0,,459.0,0.0,,0.0,
664-1,TV Crew,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},46.0,3.0,435.0,0.0,,0.0,
698-1,Boeing Aeroplane,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},46.0,,485.0,0.0,,0.0,
699-1,Photo Safari,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},130.0,1.0,373.0,0.0,,0.0,
711-1,Jeep CJ-5,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},56.0,,88.0,0.0,,0.0,
712-1,Sea Plane,1977,LEGOLAND,Vintage,,Normal,{Not specified},0,{Not specified},115.0,2.0,211.0,0.0,,0.0,
727-1,Locomotive,1977,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},134.0,,214.0,0.0,,0.0,
786-1,Storage Cloth,1977,Basic,Basic,Supplementaries,Normal,{Not specified},0,{Not specified},1.0,,45.0,0.0,,0.0,
787-1,Storage Cloth,1977,Basic,Basic,Supplementaries,Normal,{Not specified},0,{Not specified},1.0,,235.0,0.0,,1.0,90.0000
850-1,Fork-Lift Truck,1977,Technic,Technical,,Normal,Box,0,Retail,210.0,,2323.0,3.7,,0.0,
851-1,Tractor,1977,Technic,Technical,,Normal,Box,0,Retail,318.0,,1604.0,4.4,,0.0,
852-1,Helicopter,1977,Technic,Technical,,Normal,Box,0,Retail,364.0,,712.0,4.6,,0.0,
853-1,Car Chassis,1977,Technic,Technical,,Normal,Box,0,Retail,601.0,,1357.0,4.2,,0.0,
870-1,"Technical Motor, 4.5V",1977,Technic,Technical,Supplementary,Normal,Box,0,Retail,22.0,,1041.0,4.0,,0.0,
871-1,Supplementary Set,1977,Technic,Technical,Supplementary,Normal,Box,0,Retail,78.0,,668.0,0.0,,0.0,
1102-1,Four Motor Wheel Bushes,1977,Service Packs,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,4.0,,45.0,0.0,,0.0,
1105-1,Two Rubber Crawler Tracks,1977,Service Packs,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,2.0,,66.0,0.0,,0.0,
1109-1,Magnetic Couplings for Railway Car,1977,Service Packs,Miscellaneous,Trains,Normal,{Not specified},0,{Not specified},4.0,,23.0,0.0,,0.0,
1110-1,Four Locomotive Wheels,1977,Service Packs,Miscellaneous,Trains,Normal,Polybag,0,LEGO exclusive,8.0,,39.0,0.0,,0.0,
1112-1,Train Sliding Wheel Blocks,1977,Service Packs,Miscellaneous,Trains,Normal,Polybag,0,LEGO exclusive,2.0,,26.0,0.0,,0.0,
1119-1,Locomotive Piston Assemblies,1977,Service Packs,Miscellaneous,Trains,Normal,Polybag,0,LEGO exclusive,6.0,,47.0,0.0,,0.0,
1121-1,"Propellers, Wheels and Rotor Unit",1977,Service Packs,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,15.0,,36.0,0.0,,0.0,
1124-1,Digger Bucket Assembly,1977,Service Packs,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,3.0,,38.0,0.0,,1.0,4.2500
1150-1,Replacement Motor 12V,1977,Service Packs,Miscellaneous,,Normal,{Not specified},0,{Not specified},1.0,,19.0,0.0,,0.0,
1151-1,Train Power Pick-Up Blocks,1977,Service Packs,Miscellaneous,,Normal,{Not specified},0,{Not specified},2.0,,24.0,0.0,,3.0,17.0000
1152-1,Electric Wire,1977,Service Packs,Miscellaneous,,Normal,{Not specified},0,{Not specified},2.0,,24.0,0.0,,0.0,
1575-1,Finnjet Ferry,1977,Promotional,Miscellaneous,Ferries,Normal,Box,0,Promotional,506.0,,66.0,0.0,,0.0,
1580-2,Silja Line Ferry,1977,Promotional,Miscellaneous,Ferries,Normal,Box,0,Promotional,414.0,,61.0,0.0,,0.0,
98959-1,Motor set,1977,Technic,Technical,,Normal,{Not specified},0,{Not specified},40.0,,13.0,0.0,,0.0,
7-1,"Basic Building Set, 3+",1978,Basic,Basic,,Normal,Box,0,{Not specified},64.0,,30.0,0.0,,0.0,
8-1,"Basic Building Set, 3+",1978,Basic,Basic,,Normal,Box,0,{Not specified},93.0,,39.0,0.0,,0.0,
9-1,"Basic Building Set, 3+",1978,Basic,Basic,,Normal,{Not specified},0,{Not specified},116.0,,153.0,0.0,,0.0,
061-2,Puppy,1978,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},8.0,,11.0,0.0,,0.0,
063-2,Ducks,1978,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},5.0,,12.0,0.0,,0.0,
086-1,Tub Boat,1978,PreSchool,Pre-school,,Normal,{Not specified},0,{Not specified},3.0,1.0,18.0,0.0,,0.0,
164-1,Passenger Coach,1978,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},148.0,2.0,198.0,0.0,,0.0,
165-1,Cargo Station,1978,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},268.0,2.0,284.0,0.0,,0.0,
166-1,Flat Wagon,1978,Trains,Modern day,4.5/12V,Normal,{Not specified},0,{Not specified},53.0,2.0,133.0,0.0,,0.0,
167-1,Car Transport Wagon,1978,Trains,Modern day,4.5/12V,Normal,Box,0,Retail - limited,102.0,2.0,161.0,0.0,,0.0,
205-2,People Set,1978,Basic,Basic,,Normal,{Not specified},0,{Not specified},120.0,,142.0,0.0,,0.0,
208-1,Mother with baby,1978,Building Set with People,Vintage,,Normal,{Not specified},0,{Not specified},46.0,1.0,143.0,0.0,,0.0,
230-1,Hairdressing Salon,1978,Homemaker,Vintage,,Normal,{Not specified},0,{Not specified},215.0,,197.0,0.0,,0.0,
